Age,Gender,Marital Status,Education Level,Employment Status,Credit Utilization Ratio,Payment History,Number of Credit Accounts,Loan Amount,Interest Rate,Loan Term,Type of Loan
47,Female,Single,PhD,Self-Employed,0.38,114,9,1773000,14.88,12,Auto Loan
32,Male,Divorced,High School,Unemployed,0.73,800,6,2718000,3.45,48,Home Loan
39,Male,Married,High School,Self-Employed,0.95,1657,9,4497000,7.42,24,Auto Loan
42,Male,Married,PhD,Employed,0.23,2657,3,1872000,14.95,60,Home Loan
27,Female,Divorced,High School,Self-Employed,0.88,914,9,508000,12.28,12,Home Loan
61,Male,Married,High School,Self-Employed,0.44,428,9,2220000,10.01,24,Personal Loan
63,Male,Single,PhD,Unemployed,0.1,1885,5,1251000,8.96,12,Home Loan
59,Male,Single,High School,Employed,0.5,2200,4,2306000,16.8,24,Auto Loan
46,Female,Married,High School,Unemployed,0.5,742,8,2873000,5.46,12,Home Loan
27,Female,Married,High School,Unemployed,0.08,2628,2,2247000,13.24,48,Auto Loan
49,Male,Married,Bachelor,Employed,0.85,1314,6,3674000,15.03,12,Personal Loan
28,Male,Single,Master,Self-Employed,0.96,971,2,3226000,16.48,24,Personal Loan
45,Female,Single,PhD,Unemployed,0.85,1514,3,1048000,3.52,12,Personal Loan
46,Female,Divorced,PhD,Employed,0.61,2828,6,342000,17.39,24,Auto Loan
27,Female,Single,High School,Employed,0.26,1142,1,4502000,15.58,60,Home Loan
34,Female,Divorced,High School,Self-Employed,0.66,885,8,3000000,13.61,48,Personal Loan
59,Male,Married,Bachelor,Unemployed,0.85,1800,3,728000,15.28,36,Personal Loan
37,Male,Divorced,Bachelor,Unemployed,0.64,1457,4,761000,9.72,60,Auto Loan
51,Female,Single,High School,Self-Employed,0.75,57,2,3484000,8.83,60,Home Loan
25,Female,Divorced,Bachelor,Unemployed,0.67,1228,6,555000,16.52,48,Auto Loan
59,Female,Divorced,Master,Unemployed,0.45,342,4,118000,7.49,36,Home Loan
43,Male,Married,Bachelor,Self-Employed,0.14,2600,7,997000,5.83,24,Personal Loan
45,Male,Single,Bachelor,Unemployed,0.34,2742,7,490000,18.61,60,Personal Loan
49,Male,Single,High School,Unemployed,0.74,2000,7,4151000,18.56,24,Home Loan
31,Male,Married,PhD,Unemployed,0.6,1171,9,3327000,8.95,60,Home Loan
37,Female,Single,Master,Self-Employed,0.8,485,7,4397000,6.68,60,Auto Loan
55,Male,Married,Bachelor,Unemployed,0.71,2485,6,1213000,19.65,24,Home Loan
64,Female,Divorced,High School,Self-Employed,0.56,2114,10,3602000,13.81,60,Auto Loan
20,Male,Married,PhD,Employed,0.05,200,4,2340000,15.25,24,Auto Loan
36,Male,Married,Master,Employed,0.75,114,6,3897000,2.95,60,Personal Loan
61,Female,Married,Master,Unemployed,0.66,1371,7,3594000,19.18,36,Home Loan
20,Female,Married,PhD,Employed,0.91,2571,6,4685000,15.03,24,Home Loan
38,Female,Married,High School,Employed,0.96,2685,9,1101000,8.17,48,Auto Loan
36,Male,Married,Master,Employed,0.33,2571,3,435000,3.92,36,Home Loan
60,Female,Single,Master,Employed,0.78,1142,9,1945000,19.18,60,Personal Loan
30,Female,Divorced,PhD,Employed,0.35,771,6,2877000,7.86,24,Home Loan
50,Male,Married,Master,Self-Employed,0.24,2342,10,2145000,19.22,36,Auto Loan
44,Female,Divorced,Master,Employed,0.91,2800,6,4414000,16.25,48,Auto Loan
38,Male,Single,High School,Employed,0.17,2800,9,4573000,1.14,12,Personal Loan
60,Male,Divorced,PhD,Employed,0.21,2542,7,705000,15.19,24,Personal Loan
65,Female,Married,High School,Employed,0.05,914,9,691000,11.92,24,Auto Loan
44,Female,Divorced,PhD,Self-Employed,0.32,1400,2,4587000,1.11,60,Personal Loan
57,Male,Divorced,High School,Self-Employed,0.93,371,5,2628000,12.52,36,Auto Loan
45,Male,Single,Bachelor,Unemployed,0.22,2714,7,4678000,6.6,24,Auto Loan
61,Female,Married,Bachelor,Employed,0.04,2085,10,3406000,11.21,12,Auto Loan
42,Male,Single,Bachelor,Employed,0.18,2228,5,1730000,3.18,60,Personal Loan
49,Male,Single,High School,Self-Employed,0.1,2628,10,4187000,19.08,36,Personal Loan
61,Male,Married,Master,Unemployed,0.07,685,6,4176000,9.56,60,Home Loan
64,Male,Divorced,Master,Self-Employed,0.96,600,1,2727000,5.68,24,Home Loan
61,Female,Single,Master,Employed,0.68,1200,8,3983000,9.46,36,Auto Loan
26,Male,Divorced,High School,Self-Employed,0.86,485,9,1748000,6,12,Home Loan
21,Male,Divorced,PhD,Unemployed,0.21,114,9,2286000,11.33,60,Auto Loan
29,Female,Single,Bachelor,Unemployed,0.73,1057,3,3998000,10.52,12,Auto Loan
52,Male,Divorced,Bachelor,Unemployed,0.68,2742,9,1278000,9.48,24,Home Loan
62,Male,Divorced,PhD,Self-Employed,0.04,2771,8,2044000,2.19,36,Personal Loan
62,Male,Divorced,Master,Self-Employed,0.47,1657,1,435000,19.63,36,Personal Loan
53,Female,Divorced,Master,Unemployed,0.54,628,7,3275000,7.94,12,Home Loan
44,Male,Divorced,PhD,Self-Employed,0.82,1257,8,4144000,17.86,12,Home Loan
48,Male,Married,High School,Unemployed,0.64,771,3,1668000,3.99,60,Home Loan
62,Male,Single,Master,Unemployed,0.11,2457,8,4118000,5,24,Home Loan
21,Male,Married,Bachelor,Unemployed,0.59,485,9,429000,17.93,24,Personal Loan
36,Male,Divorced,PhD,Unemployed,0.97,2314,1,2478000,19,24,Auto Loan
50,Female,Married,Bachelor,Self-Employed,0.6,2114,3,4385000,6.03,36,Auto Loan
57,Male,Married,PhD,Self-Employed,0.13,57,4,4485000,17.33,60,Home Loan
29,Male,Married,PhD,Unemployed,0.6,2857,9,4322000,15.3,12,Auto Loan
28,Male,Divorced,PhD,Unemployed,0.42,142,9,3698000,5.36,48,Auto Loan
57,Male,Single,Bachelor,Self-Employed,0.48,828,2,2476000,12.37,60,Auto Loan
32,Male,Divorced,High School,Unemployed,0.52,1885,1,3246000,13.44,36,Auto Loan
26,Male,Single,Master,Self-Employed,0.85,1542,10,3167000,12.63,48,Personal Loan
55,Female,Married,Master,Unemployed,0.55,914,5,4946000,7.54,48,Home Loan
62,Male,Divorced,Bachelor,Self-Employed,0.78,571,2,1899000,10.66,36,Home Loan
64,Male,Married,PhD,Unemployed,0.01,314,3,4057000,18.59,48,Personal Loan
36,Male,Single,High School,Unemployed,0.04,1400,7,4471000,6.44,60,Personal Loan
60,Female,Single,High School,Employed,0.85,1885,5,1734000,1.64,60,Home Loan
64,Male,Divorced,Bachelor,Unemployed,0.04,857,1,1421000,2.65,36,Auto Loan
62,Female,Single,Bachelor,Unemployed,0.02,2571,2,856000,11.44,60,Home Loan
42,Female,Married,Bachelor,Self-Employed,0.93,2085,1,2290000,4.33,60,Personal Loan
24,Female,Single,High School,Unemployed,0.96,1942,10,2198000,14.19,48,Home Loan
35,Female,Single,PhD,Unemployed,0.86,1742,2,2263000,2.28,24,Home Loan
34,Female,Single,Master,Unemployed,0.54,2542,5,2183000,6.46,48,Home Loan
41,Male,Divorced,Bachelor,Self-Employed,0.31,771,10,2357000,4.47,24,Auto Loan
32,Male,Divorced,Bachelor,Self-Employed,0.21,714,4,3087000,3.96,12,Personal Loan
63,Female,Divorced,High School,Unemployed,0.96,1742,6,2746000,10.35,60,Auto Loan
31,Female,Single,Bachelor,Unemployed,0.13,1914,7,4112000,18.85,12,Home Loan
45,Male,Single,High School,Unemployed,0.52,1142,1,199000,13.81,48,Home Loan
40,Female,Divorced,Master,Employed,0.55,857,5,4054000,19.21,36,Auto Loan
51,Female,Married,PhD,Unemployed,0.75,1314,7,2446000,9.56,60,Personal Loan
63,Male,Married,Master,Employed,0.56,1371,4,1323000,16.2,24,Auto Loan
31,Female,Single,Bachelor,Unemployed,0.52,2628,6,4182000,6.7,60,Home Loan
45,Male,Divorced,Bachelor,Employed,0.22,914,8,908000,9.55,36,Auto Loan
43,Female,Single,High School,Self-Employed,0.12,2457,10,1769000,11.96,60,Personal Loan
42,Female,Divorced,PhD,Unemployed,0.45,285,7,2504000,9.81,24,Personal Loan
41,Female,Divorced,PhD,Employed,0.08,1228,4,2730000,7.02,36,Home Loan
58,Female,Single,PhD,Self-Employed,0.75,1885,8,3573000,4.18,12,Personal Loan
35,Female,Divorced,High School,Employed,0.17,371,2,635000,18.8,48,Home Loan
21,Female,Divorced,High School,Employed,0.26,542,2,3370000,6.88,24,Home Loan
48,Male,Married,Bachelor,Employed,0.04,1285,6,4094000,9.88,60,Auto Loan
48,Male,Divorced,Bachelor,Unemployed,0.6,2285,10,3749000,10.95,60,Auto Loan
50,Male,Married,PhD,Self-Employed,0.37,942,3,2647000,1.2,60,Personal Loan
38,Female,Divorced,High School,Unemployed,0.92,2742,8,2613000,1.17,48,Auto Loan
34,Male,Divorced,Master,Employed,0.41,2028,7,3411000,5.75,48,Auto Loan
36,Male,Single,Bachelor,Unemployed,0.76,2228,5,2488000,13.32,60,Auto Loan
32,Male,Married,Bachelor,Self-Employed,0.11,1657,10,3898000,6.17,60,Auto Loan
40,Male,Married,High School,Unemployed,0.02,371,5,2358000,3.38,48,Home Loan
34,Male,Married,High School,Self-Employed,0.22,1514,5,4281000,19.96,48,Home Loan
41,Male,Married,High School,Self-Employed,0.78,257,9,4044000,4.45,36,Auto Loan
27,Male,Single,PhD,Employed,0.74,114,4,3966000,14.97,12,Home Loan
33,Female,Single,Master,Self-Employed,0.16,2657,1,4710000,10.9,36,Auto Loan
39,Male,Single,High School,Unemployed,0.22,400,4,3742000,7.17,24,Auto Loan
27,Female,Married,High School,Employed,0.58,2514,8,1400000,8.06,12,Personal Loan
51,Male,Divorced,Master,Unemployed,0.06,1285,3,4599000,16.04,24,Auto Loan
40,Female,Single,Bachelor,Employed,0.69,1285,3,2203000,18.07,48,Home Loan
55,Female,Divorced,PhD,Employed,0.57,1971,6,2815000,14.92,36,Home Loan
30,Male,Divorced,Bachelor,Self-Employed,0.3,942,9,3180000,9.63,60,Auto Loan
31,Male,Divorced,Master,Unemployed,0.24,2628,2,4621000,16.56,24,Home Loan
51,Male,Divorced,Master,Self-Employed,0.41,1171,2,907000,10.94,12,Personal Loan
31,Male,Married,High School,Self-Employed,0.19,114,10,3360000,13.5,60,Home Loan
57,Female,Married,Master,Employed,0.61,257,1,1851000,13.46,12,Auto Loan
23,Female,Divorced,PhD,Self-Employed,0.79,200,10,2330000,11.05,12,Auto Loan
33,Male,Married,Bachelor,Unemployed,0.39,685,9,2187000,11.83,24,Home Loan
55,Female,Divorced,High School,Unemployed,0.58,2457,8,3683000,17.77,24,Personal Loan
45,Female,Divorced,Bachelor,Unemployed,1,1600,6,2744000,11.45,36,Auto Loan
60,Female,Divorced,Master,Unemployed,0.24,1971,4,3246000,15.55,36,Auto Loan
48,Female,Married,High School,Self-Employed,0.6,1885,3,2632000,1.12,24,Personal Loan
21,Female,Divorced,Bachelor,Employed,0.04,1285,3,1261000,6.03,60,Personal Loan
36,Female,Married,PhD,Unemployed,0.92,2657,2,2824000,16.07,24,Auto Loan
64,Male,Divorced,Master,Employed,0.73,2085,7,758000,15.82,36,Auto Loan
46,Male,Married,High School,Unemployed,0.78,1371,1,2657000,10.96,36,Home Loan
29,Female,Divorced,Bachelor,Employed,0.05,2657,7,3838000,15.3,60,Home Loan
34,Female,Single,PhD,Employed,0.13,285,8,4894000,15.16,60,Auto Loan
25,Female,Divorced,PhD,Unemployed,0.13,485,8,4792000,4.76,48,Home Loan
32,Male,Married,High School,Self-Employed,0.78,1171,10,852000,3.14,48,Auto Loan
42,Male,Single,Master,Unemployed,0.66,2800,5,1520000,19.77,60,Auto Loan
29,Female,Married,Bachelor,Employed,0.69,542,2,1043000,15.05,24,Home Loan
38,Male,Single,High School,Self-Employed,0.45,57,6,1853000,15.06,24,Personal Loan
53,Female,Divorced,PhD,Unemployed,0.73,514,1,3259000,12.08,60,Personal Loan
30,Male,Single,Bachelor,Unemployed,0.62,171,8,170000,2.27,36,Home Loan
43,Male,Married,Master,Unemployed,0.39,1371,9,936000,18.17,48,Home Loan
25,Male,Married,PhD,Unemployed,0.93,57,1,2175000,18.52,36,Auto Loan
45,Male,Married,Master,Unemployed,0.35,2285,5,2081000,19.92,60,Auto Loan
60,Female,Single,High School,Unemployed,0.95,800,3,2967000,18.05,24,Personal Loan
44,Male,Single,Bachelor,Unemployed,0.15,1114,10,2862000,9.53,24,Personal Loan
28,Male,Married,Master,Unemployed,0.71,1914,3,3708000,19.92,24,Home Loan
30,Female,Married,High School,Employed,0.32,514,1,2773000,17.72,48,Auto Loan
48,Female,Married,Bachelor,Employed,0.13,85,10,2339000,12.51,60,Personal Loan
34,Male,Divorced,High School,Self-Employed,0.08,2828,8,1225000,10.54,60,Auto Loan
61,Female,Married,PhD,Self-Employed,0.47,571,4,1998000,1.61,12,Auto Loan
34,Male,Married,High School,Employed,0.93,1600,10,4210000,14.07,48,Personal Loan
45,Male,Divorced,PhD,Unemployed,0.31,2228,10,4598000,10.98,12,Home Loan
48,Female,Married,Bachelor,Unemployed,0.54,2685,1,4778000,8.36,12,Personal Loan
48,Female,Single,Master,Self-Employed,0.17,1057,10,558000,14.11,24,Auto Loan
48,Male,Divorced,High School,Employed,0.78,2542,9,1235000,8.47,36,Auto Loan
31,Female,Divorced,Bachelor,Self-Employed,0.09,1171,3,1136000,2.73,48,Home Loan
25,Female,Divorced,Bachelor,Self-Employed,0.55,142,3,2912000,11.74,24,Personal Loan
31,Male,Single,Master,Self-Employed,0.73,1628,5,1616000,3.23,24,Personal Loan
59,Female,Married,PhD,Self-Employed,0.86,1971,1,4239000,5.52,60,Home Loan
49,Female,Single,High School,Unemployed,0.6,885,9,2433000,12.78,60,Personal Loan
31,Male,Married,Master,Employed,0.15,114,10,2604000,7.29,12,Personal Loan
46,Male,Married,Master,Unemployed,0.66,2542,10,4901000,15.96,24,Auto Loan
57,Female,Married,High School,Self-Employed,0.32,1371,2,3685000,17.02,12,Auto Loan
28,Male,Divorced,Master,Self-Employed,0.53,1914,4,1854000,12.63,12,Home Loan
60,Male,Single,Master,Self-Employed,0.61,1142,5,4507000,11.93,60,Auto Loan
59,Female,Divorced,PhD,Self-Employed,0.81,2228,4,2537000,19.61,12,Personal Loan
49,Male,Divorced,Bachelor,Unemployed,1,1485,1,2900000,7.64,24,Personal Loan
32,Female,Single,High School,Self-Employed,0.3,2000,6,151000,3.16,36,Auto Loan
56,Male,Married,Bachelor,Self-Employed,0.83,2457,8,4080000,16.15,24,Auto Loan
60,Female,Divorced,Master,Self-Employed,0.78,1485,1,4471000,6.69,36,Home Loan
21,Male,Divorced,Master,Self-Employed,0.07,542,5,361000,7.44,48,Home Loan
30,Female,Married,High School,Self-Employed,0.71,1142,1,2377000,8.86,48,Personal Loan
48,Female,Married,Master,Employed,0.11,2857,1,1795000,18.35,48,Home Loan
50,Male,Married,Master,Self-Employed,0.73,1914,5,2846000,3.72,12,Home Loan
28,Male,Divorced,High School,Self-Employed,0.39,1885,2,134000,6.91,12,Home Loan
25,Female,Single,High School,Employed,0.52,2400,5,289000,11.97,36,Home Loan
40,Male,Married,Master,Self-Employed,0.53,2800,8,1087000,6.18,24,Auto Loan
20,Male,Married,Master,Unemployed,0.32,514,5,4916000,5.65,12,Auto Loan
41,Female,Married,Bachelor,Employed,0.47,2457,1,989000,8.29,12,Auto Loan
31,Female,Divorced,Master,Self-Employed,0.33,714,9,759000,19.5,48,Home Loan
25,Female,Married,PhD,Self-Employed,0.68,2571,8,4047000,5.4,24,Personal Loan
36,Female,Single,Bachelor,Unemployed,0.92,1200,6,3902000,10.26,12,Auto Loan
42,Female,Single,Bachelor,Self-Employed,0.77,2200,10,1169000,10.65,48,Home Loan
40,Male,Single,PhD,Self-Employed,0.59,857,10,2144000,11.41,48,Auto Loan
41,Male,Divorced,PhD,Self-Employed,0.57,1228,9,2081000,4.29,12,Home Loan
56,Female,Married,PhD,Self-Employed,0.56,1600,3,2684000,19.16,12,Home Loan
63,Female,Single,PhD,Unemployed,0.66,314,4,1265000,17.86,12,Personal Loan
29,Female,Divorced,Master,Self-Employed,0.62,1628,4,1825000,13.95,36,Auto Loan
63,Female,Single,Master,Employed,0.58,2228,9,3491000,17.11,36,Personal Loan
55,Male,Married,Master,Employed,0.86,85,4,3721000,14.34,48,Home Loan
65,Female,Single,PhD,Self-Employed,0.55,2400,3,4084000,3.64,60,Auto Loan
46,Male,Single,Bachelor,Employed,0.01,2342,1,1308000,14.71,48,Home Loan
28,Male,Married,PhD,Self-Employed,0.89,2542,10,3671000,12.84,48,Home Loan
55,Female,Single,Master,Employed,0.19,2200,1,4948000,10.46,24,Home Loan
37,Female,Divorced,Master,Employed,0.98,2057,8,3192000,3.15,48,Home Loan
29,Female,Single,High School,Unemployed,0.89,314,4,4063000,12.98,12,Home Loan
54,Female,Divorced,High School,Self-Employed,0.54,28,8,3909000,10.74,48,Home Loan
41,Female,Single,Master,Self-Employed,0.17,2514,10,2651000,14.81,60,Auto Loan
60,Female,Divorced,Bachelor,Unemployed,0.05,1057,10,329000,6.45,12,Personal Loan
24,Female,Single,Bachelor,Unemployed,0.28,914,1,1036000,12.47,60,Home Loan
62,Female,Single,Bachelor,Self-Employed,0.78,857,8,1617000,16.19,12,Auto Loan
29,Male,Single,PhD,Self-Employed,0.24,1600,3,1869000,11.98,36,Personal Loan
36,Male,Married,Bachelor,Self-Employed,0.4,1085,8,4567000,5.44,48,Auto Loan
29,Female,Married,Master,Self-Employed,0.38,1142,9,444000,2.85,60,Home Loan
47,Female,Single,Master,Self-Employed,0.8,914,10,3381000,9.76,24,Home Loan
57,Male,Divorced,Master,Unemployed,0.69,657,6,4694000,1.2,12,Personal Loan
46,Male,Divorced,High School,Unemployed,0.45,800,5,2213000,4.67,12,Home Loan
23,Male,Divorced,High School,Unemployed,0.96,314,10,1190000,8.14,60,Personal Loan
64,Male,Single,Master,Self-Employed,0.66,257,8,2418000,15.62,36,Auto Loan
24,Female,Married,PhD,Self-Employed,0.33,200,5,2320000,4.38,12,Auto Loan
59,Female,Married,PhD,Employed,0.14,2800,7,1932000,12.67,12,Auto Loan
36,Male,Married,High School,Employed,0.57,914,8,257000,18.03,24,Home Loan
20,Male,Divorced,PhD,Self-Employed,0.15,1200,7,4920000,1.07,48,Auto Loan
45,Male,Divorced,Bachelor,Employed,0.38,2514,8,1117000,11.78,36,Auto Loan
39,Female,Married,High School,Self-Employed,0.53,1228,2,3956000,15.45,36,Home Loan
31,Male,Single,Bachelor,Self-Employed,0.7,371,6,4181000,2.61,48,Home Loan
28,Male,Married,High School,Unemployed,1,857,8,3361000,2.2,60,Home Loan
51,Female,Married,High School,Self-Employed,0.06,2857,1,3502000,3.25,60,Auto Loan
54,Male,Divorced,Bachelor,Employed,0.04,514,8,260000,9.95,60,Personal Loan
64,Male,Married,Bachelor,Unemployed,0.05,1114,2,3927000,12.61,60,Personal Loan
27,Female,Divorced,Bachelor,Employed,0.8,1542,6,3472000,7.16,60,Home Loan
40,Male,Married,Bachelor,Self-Employed,0.06,1000,3,3583000,4.19,36,Home Loan
48,Male,Divorced,High School,Employed,0.1,2285,10,3255000,15.78,12,Auto Loan
20,Male,Married,High School,Unemployed,0.65,1028,7,4093000,14.15,24,Personal Loan
37,Female,Single,Bachelor,Employed,0.61,114,10,1610000,14.63,60,Personal Loan
39,Female,Single,High School,Unemployed,0.24,428,9,903000,12.76,60,Home Loan
49,Male,Single,High School,Employed,0.11,542,8,4273000,4.35,12,Personal Loan
43,Female,Married,PhD,Self-Employed,0.33,2771,8,463000,2.98,12,Home Loan
30,Male,Single,High School,Employed,0.9,2628,8,4963000,7.19,24,Home Loan
40,Male,Married,Master,Employed,0.1,2685,7,1777000,8.14,24,Personal Loan
57,Female,Married,PhD,Employed,0.22,2228,8,1594000,8.36,24,Auto Loan
32,Female,Single,Bachelor,Self-Employed,0.13,2514,10,600000,6.33,12,Auto Loan
46,Male,Single,Bachelor,Self-Employed,0.6,2314,10,1526000,11.98,60,Personal Loan
46,Female,Married,PhD,Self-Employed,0.28,2657,7,2169000,5.71,48,Home Loan
57,Male,Divorced,High School,Self-Employed,0.98,142,8,4330000,1.64,60,Auto Loan
64,Male,Single,PhD,Employed,0.08,2742,1,3511000,19.05,24,Auto Loan
35,Male,Married,PhD,Unemployed,0.3,2571,8,4885000,15.2,12,Auto Loan
28,Female,Married,Master,Unemployed,0.46,2314,1,693000,8.31,36,Home Loan
38,Female,Single,Bachelor,Unemployed,0.08,1200,1,4418000,18.96,36,Personal Loan
44,Female,Single,High School,Self-Employed,0.37,2342,9,662000,11.65,24,Personal Loan
35,Male,Divorced,PhD,Unemployed,0.94,2114,4,1991000,7.09,36,Home Loan
47,Female,Married,High School,Self-Employed,0.35,1771,9,4518000,16.76,48,Home Loan
63,Female,Single,Master,Unemployed,0.95,228,4,3941000,2.66,48,Personal Loan
24,Male,Married,Master,Employed,0.7,1800,3,1813000,10.89,12,Auto Loan
63,Male,Single,Master,Self-Employed,0.44,2342,1,2545000,4.59,12,Personal Loan
61,Female,Single,Master,Unemployed,0.65,1171,8,4547000,17,48,Auto Loan
56,Male,Single,Bachelor,Self-Employed,0.23,1342,5,497000,3.82,36,Auto Loan
59,Male,Divorced,Master,Employed,0.97,2571,3,1453000,5.52,12,Auto Loan
28,Female,Single,Master,Employed,0.21,2571,1,2759000,19.58,24,Auto Loan
54,Male,Divorced,Master,Employed,0.92,1457,8,1320000,19.01,36,Personal Loan
54,Female,Divorced,Master,Self-Employed,0.9,2742,10,1334000,16.19,48,Auto Loan
27,Female,Married,Bachelor,Unemployed,0.55,1114,1,3469000,12.73,24,Auto Loan
25,Female,Married,Bachelor,Unemployed,0.53,2857,5,1742000,1.43,60,Auto Loan
62,Male,Divorced,PhD,Employed,0.49,2200,10,4391000,18.92,36,Auto Loan
65,Female,Single,PhD,Self-Employed,0.01,1257,6,2684000,19.57,60,Personal Loan
48,Female,Single,Master,Employed,0.81,1542,7,1271000,16.87,60,Personal Loan
33,Female,Single,Master,Employed,0.93,2142,7,842000,1.13,36,Auto Loan
55,Female,Divorced,Bachelor,Employed,0.19,1371,5,4746000,10.32,36,Home Loan
51,Female,Married,High School,Employed,0.15,1085,8,1142000,13.42,36,Auto Loan
51,Male,Married,High School,Self-Employed,0.49,228,10,3135000,12.04,60,Auto Loan
60,Female,Divorced,High School,Self-Employed,0.51,2085,1,2277000,4.09,12,Personal Loan
49,Male,Single,Bachelor,Employed,0.27,1514,6,509000,6.51,60,Home Loan
52,Male,Divorced,Bachelor,Employed,0.6,600,9,2806000,17.58,36,Auto Loan
64,Female,Married,Master,Employed,0.01,1885,5,3229000,15.8,48,Auto Loan
26,Male,Married,Bachelor,Employed,0.8,2028,10,4509000,17.08,60,Home Loan
46,Female,Married,High School,Employed,0.92,1742,6,2714000,14.13,24,Auto Loan
53,Female,Married,Master,Employed,0.74,428,4,1180000,17.28,24,Home Loan
39,Male,Married,Bachelor,Employed,0.42,2771,2,752000,1.36,48,Auto Loan
32,Male,Married,High School,Self-Employed,0.12,914,1,656000,6.73,12,Personal Loan
58,Male,Divorced,Bachelor,Employed,0.67,85,2,1321000,17.07,36,Home Loan
42,Male,Divorced,Bachelor,Unemployed,0.57,342,10,217000,11.05,24,Auto Loan
54,Male,Divorced,High School,Employed,0.92,2571,8,3174000,14.26,24,Auto Loan
26,Male,Single,PhD,Self-Employed,0.21,828,7,1047000,15.47,36,Personal Loan
27,Male,Single,Master,Unemployed,0.29,2628,1,790000,7.23,12,Auto Loan
49,Female,Divorced,PhD,Employed,0.55,1057,7,1684000,17.28,48,Home Loan
31,Male,Divorced,PhD,Unemployed,0.11,1600,9,813000,3.27,48,Auto Loan
57,Male,Divorced,Bachelor,Employed,0.36,714,6,1780000,12.3,48,Personal Loan
47,Female,Single,Master,Unemployed,0.94,1285,8,3493000,19.76,60,Auto Loan
49,Male,Married,Master,Self-Employed,0.5,2285,3,349000,2.89,12,Personal Loan
63,Male,Married,PhD,Unemployed,0.68,542,5,908000,15.44,60,Auto Loan
32,Female,Divorced,PhD,Self-Employed,0.5,1971,6,4634000,11.39,12,Auto Loan
44,Female,Single,PhD,Self-Employed,0.46,114,3,4770000,13.53,36,Home Loan
51,Female,Married,Master,Unemployed,0.39,2771,2,4872000,13.83,60,Home Loan
56,Female,Single,Bachelor,Unemployed,0.06,942,8,3269000,12.72,36,Auto Loan
23,Male,Divorced,High School,Employed,0.84,1257,10,326000,15.54,36,Auto Loan
47,Female,Single,PhD,Self-Employed,0.06,885,4,2068000,13.31,60,Personal Loan
24,Female,Married,Master,Employed,0.02,1171,1,3966000,13.5,48,Home Loan
46,Female,Married,PhD,Unemployed,0.02,1142,7,4884000,8.42,60,Personal Loan
26,Male,Single,PhD,Unemployed,0.81,2428,6,1498000,12.68,36,Auto Loan
51,Male,Divorced,Bachelor,Self-Employed,0.27,1085,10,3472000,16.29,60,Home Loan
65,Male,Divorced,Master,Self-Employed,0.07,1914,8,3683000,4.99,12,Home Loan
52,Female,Single,Master,Employed,0.41,914,10,4423000,9.61,60,Personal Loan
60,Male,Divorced,PhD,Employed,0.66,2714,8,2348000,18.81,60,Home Loan
56,Male,Divorced,Bachelor,Self-Employed,0.46,857,3,2619000,17.04,48,Auto Loan
60,Male,Single,Master,Self-Employed,0.65,914,10,2081000,8.71,12,Personal Loan
21,Male,Single,PhD,Self-Employed,0.56,1571,7,410000,4.84,36,Personal Loan
36,Female,Divorced,Bachelor,Unemployed,0.85,2628,8,267000,2.05,12,Auto Loan
39,Male,Single,Master,Unemployed,0.66,314,7,1279000,5.48,60,Home Loan
27,Female,Single,High School,Employed,0.6,2800,6,2862000,16.81,48,Home Loan
35,Female,Married,Bachelor,Employed,0.18,1000,8,3526000,5.83,60,Personal Loan
54,Female,Divorced,High School,Self-Employed,0.55,1714,4,2430000,17.71,24,Auto Loan
65,Female,Single,High School,Unemployed,0.97,2200,1,559000,14.12,24,Auto Loan
44,Female,Divorced,Master,Unemployed,0.12,857,8,3359000,1.15,48,Auto Loan
25,Male,Single,Bachelor,Employed,0.92,2285,6,3508000,16,36,Personal Loan
50,Female,Single,PhD,Employed,0.82,2542,5,4347000,2.26,48,Home Loan
55,Female,Single,High School,Employed,0.64,657,8,1242000,1.06,24,Home Loan
40,Male,Married,Bachelor,Employed,0.52,2800,3,3542000,16.06,36,Auto Loan
28,Female,Married,Master,Self-Employed,0.2,1514,6,1626000,8.48,48,Home Loan
21,Male,Divorced,Bachelor,Employed,0.97,714,5,1516000,1.95,60,Auto Loan
36,Male,Married,Master,Employed,0.95,428,1,4511000,9.27,48,Home Loan
27,Male,Divorced,Bachelor,Employed,0.95,2857,5,2516000,15.18,48,Personal Loan
33,Male,Single,Bachelor,Self-Employed,0.18,514,1,2534000,19.55,24,Home Loan
35,Female,Divorced,PhD,Employed,0.01,485,6,3435000,14.05,48,Home Loan
58,Female,Married,High School,Unemployed,0.06,1200,4,4050000,18.26,60,Home Loan
65,Male,Married,Master,Unemployed,0.62,1085,7,3211000,3.51,60,Personal Loan
31,Female,Married,PhD,Self-Employed,0.88,457,2,2762000,14.49,48,Personal Loan
27,Female,Married,Bachelor,Self-Employed,0.87,1000,6,3708000,6.38,36,Home Loan
53,Female,Single,Bachelor,Self-Employed,0.74,1771,3,4761000,17.21,48,Personal Loan
29,Male,Married,Bachelor,Employed,0.47,571,8,3761000,3.2,48,Personal Loan
42,Female,Single,PhD,Employed,0.85,514,2,3033000,2.78,36,Personal Loan
52,Female,Divorced,Bachelor,Unemployed,1,0,9,4888000,4.43,12,Personal Loan
63,Male,Single,High School,Self-Employed,0.68,2485,2,3407000,8.1,12,Auto Loan
21,Male,Single,PhD,Self-Employed,0.63,971,10,149000,7.26,12,Home Loan
